number,name,abbreviation,category,maintainer,description,size,license,tier,hi_relevance
25,DHIS2,DHIS2,A. Public Health & Epidemiology,Univ. of Oslo / HISP,Open-source health management information system used in 100+ countries (predominantly LMICs). De facto standard for national HIS in Africa/Asia.,"Platform serving 2.4B+ people, 80+ countries",BSD 3-Clause,1,Dominant health data platform in LMICs; any LMIC health AI evaluation must account for DHIS2
26,OpenMRS,OpenMRS,A. Public Health & Epidemiology,OpenMRS community,"Free open-source EMR used in 6,000+ facilities across 45+ LMICs, nearly 20M patients. Maps to standard terminologies.",50K+ concept dictionary,MPL 2.0,1,Primary EMR in LMICs; evaluating clinical AI in resource-limited settings requires OpenMRS understanding
27,WHO Disease Outbreak News Knowledge Graph,WHO DON eKG,A. Public Health & Epidemiology,"Academic (Nature Scientific Data, 2025)","Epidemiological KG extracted from WHO DON using generative AI. Maps outbreaks to diseases, locations, temporal patterns.",Decades of WHO DON reports,Open (research),1,Directly demonstrates AI+KG for disease surveillance — HI collaboration proof-of-concept
28,"Environmental Conditions, Treatments & Exposures Ontology",ECTO,A. Public Health & Epidemiology,OBO Foundry / Monarch Initiative,Exposure events from natural and experimental processes. Composes from ENVO and ChEBI to create exposure classes.,12K+ classes,CC BY 4.0,1,Connects environmental exposures to health; evaluating AI in environmental epidemiology
29,3M Ontology (Micro-Meso-Macro SDOH),3M,A. Public Health & Epidemiology,Academic (JMIR),"OWL2 ontology encoding SDOH at 3 levels: macro (policy, inequality), meso (work, housing, crime), micro (gender, ethnicity, behavior).","383 classes, 109 properties, 748 axioms",Open (research),1,Comprehensive multi-level SDOH framework for evaluating AI health equity models
30,HL7 FHIR US Core SDOH Profile,FHIR SDOH,A. Public Health & Epidemiology,HL7 International,"FHIR implementation guide for social determinants: food insecurity, housing, transportation, education screening.",Profile/implementation guide,HL7 FHIR license,1,Operational standard for SDOH data exchange; evaluating AI that processes social risk data
31,Mental Health Ontology,MHO,A. Public Health & Epidemiology,Academic consortium,"Ontology for anxiety, depression, psychosis — organizing and synthesizing evidence from systematic reviews.",In development,Open (research),2,Mental health is growing global priority; evaluating AI diagnostic and treatment tools in LMICs
18,World Bank World Development Indicators,WDI,B. Social Determinants of Health & Environmental Health,World Bank,"1,600+ development indicators for 217 economies. Covers poverty, education, health, infrastructure, environment.","1,600+ indicators, 217 economies",CC BY 4.0,1,Core data source for health-determinants-kg; SDoH indicators for evaluation baselines
19,UNDP Human Development Index/Data,HDI,B. Social Determinants of Health & Environmental Health,UNDP,"Composite index of life expectancy, education, and per capita income for 191 countries.","191 countries, 50+ years",Open access,1,Planned for health-determinants-kg; contextualizes LMIC evaluation priorities
20,Environment Ontology,ENVO,B. Social Determinants of Health & Environmental Health,OBO Foundry,"Ontology of environmental systems, processes, and entities. Covers biomes, water bodies, pollution, climate.",~7K classes,CC BY 4.0,1,"Structures the environmental data Mala identified as ""big observability gap"" in cancer research"
21,Exposure Ontology,ExO,B. Social Determinants of Health & Environmental Health,OBO Foundry,"Ontology representing exposures to environmental and occupational agents, lifestyle factors, and their health effects.",~1K classes,CC BY 4.0,1,Directly addresses the environmental-cancer link HI cares about; formalizes exposure pathways
22,WHO Air Quality Database,AQD,B. Social Determinants of Health & Environmental Health,WHO,"Air pollution measurements (PM2.5, PM10, NO2) from 6,000+ cities across 117 countries.","6,000+ cities, 117 countries",Open access,1,Planned data source for health-determinants-kg; environmental health evaluation
23,FAO AQUASTAT,AQUASTAT,B. Social Determinants of Health & Environmental Health,FAO,"Global information system on water resources, use, and agricultural water management across 200+ countries.","200+ countries, 180+ variables",Open access,1,Planned for health-determinants-kg; WASH domain data for HI's India-based org work
24,Social Determinants of Health Ontology,SDoHO,B. Social Determinants of Health & Environmental Health,Academic (research),"Formal ontology mapping social determinant categories (economic stability, education, food, healthcare, social/community, neighborhood/environment) to health outcomes.",~500 classes,Open (research),1,"Directly maps HI's SDoH focus area; structures the ""combining apples to oranges"" problem"
25,Chemical Entities of Biological Interest,ChEBI,B. Social Determinants of Health & Environmental Health,EMBL-EBI,Ontology of molecular entities focused on small chemical compounds. 60K+ compounds with biological roles.,60K+ entities,CC BY 4.0,2,Chemical exposure classification for environmental health evaluation scenarios
26,Toxicology Ontology,TXPO,B. Social Determinants of Health & Environmental Health,OBO Foundry,"Ontology representing toxicological knowledge including toxic substances, pathways, and effects.",~2K classes,CC BY 4.0,2,Formalizes toxicological pathways linking environmental exposures to health outcomes
27,Food Ontology,FoodOn,B. Social Determinants of Health & Environmental Health,OBO Foundry,"Comprehensive ontology of foods, food sources, food products, and nutritional content.",~30K classes,CC BY 3.0,2,Nutrition as a social determinant of health; relevant to food security evaluation
28,Sustainable Development Goals Interface Ontology,SDGIO,B. Social Determinants of Health & Environmental Health,OBO Foundry / UN,"Ontology bridging UN SDGs to scientific research domains. Maps goals, targets, and indicators.",~1.5K classes,CC BY 4.0,2,Maps UN SDGs to health outcomes; HI's work supports SDG 3 (Good Health)
29,Urban Multi-scale Environmental Predictor,UMEP,B. Social Determinants of Health & Environmental Health,Academic,"Framework for modeling urban environmental health factors: heat islands, air quality, green spaces, flooding.",Modular (varies),Open source,3,Urban environmental health modeling for city-level evaluation scenarios
30,Global Environmental Monitoring System / Water Programme,GEMS/Water,B. Social Determinants of Health & Environmental Health,UNEP,"Water quality data from freshwater bodies worldwide — heavy metals, nutrients, bacteria, pesticides.","4M+ data entries, 100+ countries",Open access,2,Water quality data for WASH evaluations and environmental health AI
31,Comparative Toxicogenomics Database,CTD,B. Social Determinants of Health & Environmental Health,NC State Univ.,Curated data on chemical-gene/protein-disease relationships. Links environmental exposures to health effects via molecular mechanisms.,"2.6M chemical-gene interactions, 46M gene-disease associations",Open (custom),2,Molecular-level environmental exposure → disease links; strengthens cancer-environment evaluations
32,Gene Ontology,GO,C. Biomedical & Clinical,Gene Ontology Consortium,"Structured vocabulary for gene product function, process, and cellular location. The most widely used bioontology.","47K+ terms, 8M+ annotations",CC BY 4.0,1,Already in Samyama pathways-kg; molecular-level evaluation grounding
33,Unified Medical Language System,UMLS,C. Biomedical & Clinical,NLM/NIH,Metathesaurus integrating 200+ biomedical vocabularies with concept mappings. 4.5M+ concepts.,"4.5M+ concepts, 200+ source vocabularies",Free (UMLS license),1,Master cross-reference system linking all biomedical ontologies; critical for KG federation
34,DrugBank,DrugBank,C. Biomedical & Clinical,OMx / Univ. of Alberta,"Comprehensive drug database with chemical, pharmacological, and pharmaceutical data linked to drug targets.","15K+ drug entries, 5K+ protein targets",CC BY-NC 4.0,1,Already in druginteractions-kg; drug safety evaluation ground truth
35,RxNorm,RxNorm,C. Biomedical & Clinical,NLM/NIH,"Normalized names and codes for clinical drugs. Links drug names across pharmacies, PBMs, and EHRs.",115K+ concepts,UMLS license (free),1,Already in clinicaltrials-kg; standardizes drug naming across evaluation scenarios
36,Mondo Disease Ontology,MONDO,C. Biomedical & Clinical,Monarch Initiative,"Unified disease ontology merging multiple disease classifications (OMIM, Orphanet, DOID, NCIT, EFO).",35K+ classes,CC BY 4.0,2,Cross-references disease classifications; useful for multi-source evaluation coverage
37,Human Disease Ontology,DOID,C. Biomedical & Clinical,Univ. of Maryland,"Standardized ontology for human diseases with cross-references to MeSH, ICD, SNOMED, OMIM.",~12K classes,CC0 1.0,2,Disease classification with rich cross-referencing for evaluation traceability
38,Logical Observation Identifiers Names and Codes,LOINC,C. Biomedical & Clinical,Regenstrief Institute,Universal standard for identifying medical laboratory observations and clinical measurements.,99K+ observation terms,Free (Regenstrief license),2,Standardizes lab tests and clinical observations for evaluation data grounding
39,ATC Classification System,ATC,C. Biomedical & Clinical,WHO Collaborating Centre,Hierarchical classification of active drug substances by therapeutic/pharmacological group and chemical properties.,"6,300+ codes (5 levels)",WHO license,2,Drug classification hierarchy for pharmacological evaluation scenarios
40,Hetionet,Hetionet,C. Biomedical & Clinical,Daniel Himmelstein / Univ. of Penn.,"Integrative biomedical knowledge graph linking genes, diseases, compounds, anatomies, and side effects.","47K nodes, 2.25M edges, 24 edge types",CC0 1.0,2,Pre-built biomedical KG; demonstrates drug repurposing evaluation methodology
41,PrimeKG,PrimeKG,C. Biomedical & Clinical,Harvard / Zitnik Lab,"Precision medicine knowledge graph with 17 biomedical data sources. Multi-relational, well-benchmarked.","129K nodes, 8M edges, 30 relation types",MIT,1,State-of-art biomedical KG; benchmark reference for KG-driven AI evaluation
42,SPOKE,SPOKE,C. Biomedical & Clinical,UCSF,Scalable Precision Medicine Open Knowledge Engine — integrating 40+ biomedical databases.,"27M nodes, 53M edges",Open access,2,Large-scale biomedical KG; demonstrates multi-source integration at scale
43,Protein Ontology,PRO,C. Biomedical & Clinical,Georgetown Univ.,"Formal representation of protein entities and their forms, modifications, and complexes.",~40K classes,CC BY 4.0,3,Structures protein-level data for molecular biology evaluation scenarios
44,Sequence Ontology,SO,C. Biomedical & Clinical,OBO Foundry,"Ontology of genomic sequence features and their relationships (genes, exons, variants, etc.).",~2.5K terms,CC BY-SA 4.0,3,Structures genomic features for precision medicine evaluation
45,Foundational Model of Anatomy,FMA,C. Biomedical & Clinical,Univ. of Washington,Comprehensive ontology of human anatomy — from molecular to organ system level.,83K+ classes,Creative Commons,3,Anatomical grounding for medical AI evaluation scenarios
46,Uber-Anatomy Ontology,UBERON,C. Biomedical & Clinical,OBO Foundry,"Cross-species anatomy ontology integrating FMA, MA, ZFA and other anatomy ontologies.",16K+ classes,CC BY 3.0,3,Cross-species anatomy for comparative biomedical evaluation
47,Cell Ontology,CL,C. Biomedical & Clinical,OBO Foundry,Structured vocabulary for cell types across organisms.,~2.7K classes,CC BY 4.0,3,Cell-type classification for precision medicine evaluation
48,Clinical Data Interchange Standards Consortium,CDISC,C. Biomedical & Clinical,CDISC,"Standards for clinical trial data collection, tabulation, and exchange (CDASH, SDTM, ADaM).",100+ domains,Free (membership for full access),2,Structures clinical trial data for evaluation — aligns with clinicaltrials-kg
49,Orphanet Rare Disease Ontology,ORDO,C. Biomedical & Clinical,Orphanet (INSERM),Structured vocabulary for rare diseases with epidemiological data and gene associations.,10K+ rare diseases,CC BY 4.0,3,Rare disease evaluation — important for inclusivity in health AI
50,Phenotype And Trait Ontology,PATO,C. Biomedical & Clinical,OBO Foundry,"Ontology of phenotypic qualities (size, shape, color, composition) used to describe organism phenotypes.",~2.7K classes,CC BY 3.0,3,Phenotype description for clinical evaluation scenarios
51,Drug-Drug Interaction Ontology,DINTO,C. Biomedical & Clinical,Univ. of Murcia,OWL ontology specifically modeling DDI mechanisms and effects. Integrates DrugBank data into formal logic framework.,"~28K classes, ~210K axioms",CC BY 3.0,1,Formalized interaction mechanisms for drug safety evaluation benchmarks
52,Pharmacogenomics Knowledgebase,PharmGKB,C. Biomedical & Clinical,Stanford University,"Curated gene-drug associations, clinical annotations, variant annotations, and pharmacogenomic pathways.","~700 drug labels, ~680 drugs with annotations",CC BY-SA 4.0,2,Evaluating precision medicine AI that predicts drug response based on genomic variants
53,Online Mendelian Inheritance in Man,OMIM,C. Biomedical & Clinical,Johns Hopkins University,Comprehensive catalog of human genes and genetic disorders with gene-phenotype relationships.,"~16.9K entries, 7.2K phenotypes with molecular basis",Academic free (license for commercial),2,Benchmark for evaluating genetic variant interpretation and gene-disease prediction AI
54,DisGeNET,DisGeNET,C. Biomedical & Clinical,IMIM Barcelona,"Platform integrating gene-disease associations from curated databases, GWAS, literature. Confidence-scored.","1.1M gene-disease associations, 30K diseases, 21K genes",CC BY-NC-SA 4.0,1,Scored associations enable threshold-based evaluation of gene-disease prediction AI
55,Open Targets Platform,Open Targets,C. Biomedical & Clinical,EMBL-EBI / Sanger Institute,"Drug target identification platform integrating genetics, genomics, transcriptomics with association scores.","63K targets, 24K diseases, 14M associations","Apache 2.0 (code), CC0 (data)",2,Evidence-scored target-disease associations for drug target identification AI evaluation
56,Monarch Initiative Knowledge Graph,Monarch KG,C. Biomedical & Clinical,Monarch Initiative (NIH),"Integrative KG linking diseases, genes, phenotypes, and model organisms across species.","700K nodes, 7M edges",CC BY 4.0,2,Cross-species phenotype reasoning evaluation for translational medicine AI
57,Biolink Model,Biolink,C. Biomedical & Clinical,Monarch Initiative / NIH NCATS,"Standard schema for biomedical KGs — entity types (Gene, Disease, Drug) and predicates (treats, causes).","~300 classes, ~200 predicates",CC0 1.0,1,Emerging standard for biomedical KG interoperability; ensures evaluation datasets work together
58,Clinical Knowledge Graph,CKG,C. Biomedical & Clinical,Novo Nordisk / Univ. of Copenhagen,Open-source platform integrating proteomics with 25+ biomedical databases. Built on Neo4j.,"16M nodes, 220M relationships",MIT,2,Neo4j-based clinical KG — directly demonstrates graph DB for clinical evaluation (proof-of-concept for Samyama)
59,KEGG,KEGG,C. Biomedical & Clinical,"Kanehisa Labs, Kyoto University","Integrated database linking genomic info with function. Hand-drawn pathway maps, metabolic networks.","560 pathway maps, 25K compounds, 11K reactions",Academic free; commercial license required,2,Metabolic pathway benchmark; widely used for pathway enrichment AI evaluation
60,SIDER,SIDER,C. Biomedical & Clinical,EMBL (Bork group),Database of drugs and recorded adverse drug reactions extracted from package inserts.,"1.4K drugs, 5.9K side effects, 140K drug-SE pairs",CC BY-NC-SA 4.0,1,Primary benchmark for adverse drug reaction prediction AI — drug safety evaluation
61,BioKG,BioKG,C. Biomedical & Clinical,AstraZeneca / Academic,"Large-scale biomedical KG combining DrugBank, UniProt, GO, Reactome, SIDER, DisGeNET for drug discovery.","~2M entities, ~50M triples",MIT (code),2,Industrial-scale KG for evaluating drug-target prediction and KG embedding models
62,Experimental Factor Ontology,EFO,C. Biomedical & Clinical,EMBL-EBI,"Application ontology for GWAS, gene expression experiments. Combines parts of multiple ontologies.",~52K classes,Apache 2.0,2,Standard vocabulary for GWAS catalog — evaluating genomic association AI
63,Knowledge Graph Hub,KG-Hub,C. Biomedical & Clinical,Monarch / LBNL,"Platform for building, exchanging, and reusing biomedical KGs. Standardized construction pipelines.","Multiple KGs; COVID-19 KG: 500K nodes, 12M edges",BSD-3 (code),3,Infrastructure for building evaluation-specific biomedical KGs rapidly
64,NIST AI Risk Management Framework,AI RMF 1.0,"D. AI Safety, Ethics & Evaluation Frameworks",NIST,"Framework for managing risks in the design, development, use, and evaluation of AI systems. Four functions: Govern, Map, Measure, Manage.","4 functions, 19 categories, 72 subcategories",Public domain,1,HI already works with NIST (NIST 600-1 red teaming report); structures evaluation risk categories
52,EU AI Act Risk Classification,EU AI Act,"D. AI Safety, Ethics & Evaluation Frameworks",European Commission,"Regulatory framework classifying AI systems into risk tiers: unacceptable, high, limited, minimal.","4 risk tiers, 8 high-risk domains",EU regulation,1,Structures regulatory evaluation requirements; HI's contextual evals align with high-risk categories
53,ISO/IEC 42001 — AI Management System,ISO 42001,"D. AI Safety, Ethics & Evaluation Frameworks",ISO/IEC,"International standard for AI management systems. Requirements for establishing, implementing, and maintaining AI governance.",Clauses + Annex A controls,Paid standard,2,Management system framework for AI governance evaluation
54,ISO/IEC 23894 — AI Risk Management,ISO 23894,"D. AI Safety, Ethics & Evaluation Frameworks",ISO/IEC,Guidance on managing risk specifically for organizations developing or using AI systems.,Risk management process,Paid standard,2,AI-specific risk management process aligned with HI evaluation methodology
55,IEEE 7000 — Model Process for Addressing Ethical Concerns,IEEE 7000,"D. AI Safety, Ethics & Evaluation Frameworks",IEEE,"Standard for ethical system design — addresses values, value prioritization, and stakeholder engagement.",Process model (10 clauses),IEEE license,2,Ethical design process relevant to HI's theory of change and evaluation design
56,MLCommons AI Safety Taxonomy,MLCommons,"D. AI Safety, Ethics & Evaluation Frameworks",MLCommons,"Taxonomy of AI safety categories: violence, CSAM, hate, self-harm, elections, privacy, etc. v0.5 includes 13 hazard categories.","13 hazard categories, 7 personas",Open,1,Mala Kumar is former MLCommons; directly applicable to red teaming scenario categorization
57,MIT AI Risk Repository,AIRR,"D. AI Safety, Ethics & Evaluation Frameworks",MIT FutureTech,"Comprehensive database of AI risks from 700+ academic papers. Categorizes risks by cause, domain, and severity.","700+ risk sources, 23 risk domains",Open access,1,Systematic risk catalog for evaluation scenario generation and coverage analysis
58,OWASP AI Security & Privacy Guide,OWASP AI,"D. AI Safety, Ethics & Evaluation Frameworks",OWASP,"Security and privacy risks for AI applications: model theft, data poisoning, adversarial attacks, prompt injection.",10+ attack categories,CC BY-SA 4.0,2,Red teaming attack taxonomy aligned with HI's prompt injection testing
59,MITRE ATLAS (Adversarial Threat Landscape for AI Systems),ATLAS,"D. AI Safety, Ethics & Evaluation Frameworks",MITRE,Knowledge base of adversary tactics and techniques against AI/ML systems. Modeled after ATT&CK.,"12 tactics, 30+ techniques",Open,2,Adversarial technique taxonomy for structuring red teaming attacks
60,OECD AI Policy Observatory Framework,OECD.AI,"D. AI Safety, Ethics & Evaluation Frameworks",OECD,"Framework of AI principles: inclusive growth, sustainable development, human-centered values, transparency, robustness, accountability.","5 principles, 5 recommendations",Open access,2,International policy framework for contextualizing evaluation criteria
61,Partnership on AI Framework for Responsible Practices,PAI,"D. AI Safety, Ethics & Evaluation Frameworks",Partnership on AI,Multi-stakeholder guidance on responsible AI practices across development lifecycle.,Thematic pillars (varies),Open access,2,HI joined PAI August 2025; shared framework for evaluation standards
62,Fairness-Aware Machine Learning Taxonomy,Fairness taxonomy,"D. AI Safety, Ethics & Evaluation Frameworks",Academic (multiple),"Classification of fairness definitions (individual, group, counterfactual), metrics (demographic parity, equalized odds, calibration), and interventions (pre-, in-, post-processing).","20+ fairness definitions, 30+ metrics",Academic,1,Structures bias detection — core to HI's bias bounty and red teaming work
63,AI Incident Database,AIID,"D. AI Safety, Ethics & Evaluation Frameworks",Responsible AI Collaborative,"Structured database of real-world AI harms and incidents. 3,000+ incidents indexed.","3,000+ incidents",Open access,1,"Real-world AI harm catalog for evaluation scenario generation — ""what has gone wrong before"""
64,Responsible AI Maturity Model,RAI-MM,"D. AI Safety, Ethics & Evaluation Frameworks","Various (Microsoft, Google, etc.)","Assessment frameworks for organizational AI responsibility maturity across governance, technical, and process dimensions.",Varies by vendor (typically 5 maturity levels),Various,3,Contextualize where client organizations are in their AI governance journey
65,Algorithmic Transparency Reporting Standard,ATRS,"D. AI Safety, Ethics & Evaluation Frameworks",Ada Lovelace Institute / Open Government Partnership,Standard for public sector organizations to report on algorithmic decision-making systems.,Reporting template (20+ fields),Open,3,Transparency standard for public sector AI evaluation and accountability
66,AI Bill of Materials,AI BOM,"D. AI Safety, Ethics & Evaluation Frameworks",NTIA / CISA,"Standardized format for documenting AI system components: models, data, training processes, dependencies.",Structured metadata fields,Public domain,2,Documents AI system composition for evaluation scope definition
67,IBM AI Atlas Nexus,AI Atlas Nexus,"D. AI Safety, Ethics & Evaluation Frameworks",IBM Research (AI Alliance),"Graph-native risk ontology in LinkML — combines risk view (taxonomies, risks, mitigations) with AI model view. Integrates MIT AIRR, NIST RMF, AIR 2024, MLCommons, OWASP LLM Top 10 via SSSOM cross-mapping.",8+ source taxonomies integrated,Apache 2.0,1,Most directly graph-native risk ontology; backbone schema for Samyama-hosted AI evaluation KG
68,AIR 2024,AIR 2024,"D. AI Safety, Ethics & Evaluation Frameworks",Academic (NeurIPS 2024),"AI risk taxonomy from 8 government + 16 corporate policies. 314 risk categories in 4 tiers: System/Operational, Content Safety, Societal, Legal/Rights.","314 risk categories, 4 tiers",Open (academic),1,Bridges regulation and corporate policy into unified risk language for evaluation criteria
69,MLCommons AILuminate Safety Benchmark,AILuminate,"D. AI Safety, Ethics & Evaluation Frameworks",MLCommons,"Standardized AI safety benchmark with 12 hazard categories (violent crimes, CSAM, hate, self-harm, WMD, etc.). 24K+ test prompts per language.","12 hazard categories, 24K+ prompts/language",Open (MLCommons),1,Industry-standard safety benchmark; Mala Kumar is ex-MLCommons AI Safety Director
70,OECD AI System Classification Framework,OECD AI Class,"D. AI Safety, Ethics & Evaluation Frameworks",OECD,"5-dimension AI system classification (People & Planet, Economic Context, Data & Input, AI Model, Task & Output) linked to 10 OECD AI Principles.","5 dimensions, 10 principles",Open access,1,International standard for classifying AI systems by policy risk across jurisdictions
71,OWASP Top 10 for LLM Applications,OWASP LLM,"D. AI Safety, Ethics & Evaluation Frameworks",OWASP,"Top 10 security risks specific to LLM applications: prompt injection, insecure output handling, training data poisoning, model DoS, supply chain, sensitive info disclosure, insecure plugin design, excessive agency, overreliance, model theft.",10 risk categories,CC BY-SA 4.0,1,LLM-specific attack taxonomy for structuring red teaming — directly maps to HI's prompt injection testing
72,CSET AI Harm Taxonomy,CSET,"D. AI Safety, Ethics & Evaluation Frameworks",Georgetown Univ. CSET,"Distinguishes tangible vs. intangible AI harms across 10 categories (physical harm, property damage, financial loss, HR violations). Used by AI Incident Database.",10 harm categories with severity ratings,Open (academic),1,Harm categorization for incident classification; maps to evaluation severity scoring
73,Fundamental Rights Impact Assessment Ontology,FRIA,"D. AI Safety, Ethics & Evaluation Frameworks",Academic (EU AI Act research),Ontology for structuring fundamental rights impact assessments required by EU AI Act for high-risk AI systems.,Emerging,Open (research),2,Structures FRIA evaluations now required under EU regulation for high-risk AI
74,Fairlearn,Fairlearn,"D. AI Safety, Ethics & Evaluation Frameworks",Microsoft (OSS),"Open-source Python toolkit with formal fairness metric definitions and mitigation algorithms. Defines demographic parity, equalized odds, bounded group loss.","10+ fairness metrics, 5+ mitigation algorithms",MIT,1,Operationalizes fairness definitions into computable metrics for bias bounty scoring
